gene_id	perc_covered	lovcov_positions
1	61.7647058823529	chr19:58347352-58347640 chr19:58350369-58350651
10	100	
100	86.3224637681159	chr20:44625568-44625684 chr20:44651574-44651607
1000	97.8345757898473	chr18:28176962-28177022
10000	100	
100008586	0	chrX:49561996-49562080 chrX:49562545-49562666 chrX:49565494-49565620 chrX:49568091-49568114
10001	100	
10002	64.0963855421687	chr15:71810743-71810861 chr15:71811765-71811869 chr15:71811954-71812176
10003	100	
100033411	0	chr16:75693928-75694525 chr16:75695960-75696115 chr16:75696837-75696943 chr16:75700014-75700169 chr16:75701393-75701418
100037417	29.9019607843137	chr22:23966914-23967022 chr22:23967385-23967561
10004	90.4953145917001	chr11:65047474-65047565 chr11:65053217-65053337
100049587	41.3188647746244	chr19:51645781-51646060 chr19:51646256-51646640 chr19:51646722-51646759
10005	100	
10006	96.7316153362665	chr10:26839732-26839783
10007	100	
10008	100	
10009	100	
1001	95.5073586367157	chr16:68645635-68645750
10010	100	
100101267	39.885752688172	chr7:75421508-75423203 chr7:75426361-75426453
100101467	100	
10011	60.5747126436782	chr5:140557146-140557488
100113407	75.6218905472637	chr6:11538277-11538374
100125288	86.8292682926829	chr19:10305845-10305952
100126572	0	chr6:142133158-142133197 chr6:142133849-142134044 chr6:142134538-142134922
100127206	0	chr5:129748190-129748355 chr5:129760377-129760605 chr5:129764883-129765063
100127983	0	chr8:90959006-90959030 chr8:90960741-90960848 chr8:90971065-90971141 chr8:90978578-90978652 chr8:90980362-90980435
100128071	0	chr1:32361432-32361535 chr1:32361729-32361876 chr1:32361957-32362091
100128108	0	chr15:101737207-101737369 chr15:101744440-101744596 chr15:101746780-101746870
100128124	0	chr6:167976136-167976652
100128327	0	chr6:116496953-116497073 chr6:116500480-116500666 chr6:116540362-116540462 chr6:116543302-116543400 chr6:116545472-116545514
100128553	0	chr7:144183503-144185837
100128569	0	chr19:3539177-3539260 chr19:3543234-3543473 chr19:3543554-3543680 chr19:3543828-3544010
100128731	0	chr2:27071348-27071462
100128908	0	chr14:23099281-23099489 chr14:23100501-23100681 chr14:23100849-23101079 chr14:23101291-23101564 chr14:23101668-23101765 chr14:23101841-23101911 chr14:23102091-23102266 chr14:23102343-23102489 chr14:23102628-23102713 chr14:23102925-23103051 chr14:23103286-23103382 chr14:23103470-23103548 chr14:23103674-23103818 chr14:23104242-23104294 chr14:23104384-23104469 chr14:23104598-23104920
100128927	0	chr14:104801197-104802466
100129094	0	chr1:228510358-228510678 chr1:228511650-228511957
100129128	100	
100129216	100	
100129239	0	chrX:146814206-146814401 chrX:146814591-146814723
100129250	27.4853801169591	chr9:32552800-32552923
100129271	0	chr1:152719521-152720274
100129278	0	chr2:21137467-21143272
100129307	0	chr13:77661375-77662626
100129361	0	chr12:11171356-11171563
100129385	0	chr9:16203965-16204038 chr9:16215215-16215279 chr9:16215771-16215899 chr9:16253039-16253101
100129396	0	chr17:16788900-16789410
100129407	0	chrX:72938262-72938298 chrX:72938475-72938651 chrX:72938805-72938833
100129480	0	chr3:12540192-12540433 chr3:12541859-12542022 chr3:12543179-12543229 chr3:12545246-12545464
100129484	0	chr7:5427582-5428248
100129515	0	chrX:135119081-135119261
100129520	0	chrX:125320119-125323101
100129543	100	
